Trial_No,Timestamp,Use_Corong,Focal_Loss_Gamma,Learning_Rate,Batch_Size,Dense_Units,Dropout_Rate,Optimizer,Avg_Accuracy
0,2026-06-22 11:41:49,False,1,0.0001,32,256,0.2,RMSprop,27.53
1,2026-06-22 12:06:38,False,0,0.0005,16,128,0.3,RMSprop,45.59
2,2026-06-22 12:47:52,False,0,5e-05,32,128,0.4,RMSprop,33.48
3,2026-06-22 13:37:42,False,2,0.0001,16,256,0.3,RMSprop,37.34
4,2026-06-22 14:19:43,False,0,5e-05,32,128,0.4,RMSprop,35.81
5,2026-06-22 14:51:00,True,0,0.0005,16,256,0.3,Adam,50.88
6,2026-06-22 15:18:19,True,1,5e-05,16,128,0.4,Adam,40.64
7,2026-06-22 15:56:49,True,1,0.0001,32,256,0.3,RMSprop,44.38
8,2026-06-22 16:24:44,True,1,0.0005,16,256,0.4,RMSprop,54.73
9,2026-06-22 17:22:55,True,0,0.0001,32,128,0.3,RMSprop,44.17
10,2026-06-22 18:30:25,True,2,0.0005,16,256,0.2,Adam,50.33
11,2026-06-22 19:00:23,True,1,0.0005,16,256,0.4,Adam,53.84
12,2026-06-22 19:53:42,True,1,0.0005,16,256,0.4,Adam,54.18
13,2026-06-22 20:55:11,True,1,0.0005,16,256,0.4,Adam,50.55
14,2026-06-22 21:37:05,True,1,0.0005,16,256,0.4,Adam,51.66
15,2026-06-22 22:42:40,True,1,0.0005,16,256,0.4,Adam,53.2
16,2026-06-22 23:28:02,True,1,0.0005,16,256,0.4,Adam,53.52
17,2026-06-23 00:28:08,True,2,0.0005,16,256,0.2,RMSprop,55.07
18,2026-06-23 01:29:31,True,2,0.0005,16,256,0.2,RMSprop,52.42
19,2026-06-23 02:01:18,True,2,5e-05,16,256,0.2,RMSprop,41.85
