Trial_No,Timestamp,Use_Corong,Learning_Rate,Batch_Size,Dense_Units,Dropout_Rate,Optimizer,Avg_Accuracy
0,2026-05-13 11:45:23,True,0.0001,32,128,0.2,RMSprop,46.92
1,2026-05-13 12:40:22,False,0.0001,32,128,0.2,Adam,31.96
2,2026-05-13 13:38:44,False,0.0005,16,256,0.3,Adam,48.57
3,2026-05-13 14:46:13,True,5e-05,32,128,0.3,RMSprop,44.49
4,2026-05-13 15:43:11,False,0.0001,32,128,0.4,Adam,36.03
5,2026-05-13 16:38:30,True,5e-05,32,128,0.3,RMSprop,45.04
6,2026-05-13 17:02:35,False,0.0005,16,256,0.4,RMSprop,46.04
7,2026-05-13 17:28:32,True,0.0001,16,128,0.2,Adam,46.15
8,2026-05-13 18:04:49,True,0.0005,32,256,0.3,Adam,51.43
9,2026-05-13 18:41:16,True,5e-05,32,128,0.2,Adam,43.61
10,2026-05-13 19:07:54,True,0.0005,16,256,0.3,Adam,52.54
11,2026-05-13 19:33:37,True,0.0005,16,256,0.3,Adam,52.64
12,2026-05-13 19:59:39,True,0.0005,16,256,0.3,Adam,52.64
13,2026-05-13 20:25:32,True,0.0005,16,256,0.3,Adam,50.33
14,2026-05-13 20:52:24,True,0.0005,16,256,0.3,Adam,52.42
15,2026-05-13 21:18:56,True,0.0005,16,256,0.3,Adam,49.67
16,2026-05-13 21:45:03,True,0.0005,16,256,0.4,Adam,52.87
17,2026-05-13 22:11:47,True,0.0005,16,256,0.4,Adam,53.85
18,2026-05-13 22:35:40,False,0.0005,16,256,0.4,RMSprop,46.04
19,2026-05-13 23:02:25,True,5e-05,16,256,0.4,Adam,43.61
