Trial_No,Timestamp,Use_Corong,Focal_Loss_Gamma,Learning_Rate,Batch_Size,Dense_Units,Dropout_Rate,Optimizer,Avg_Accuracy
0,2026-05-29 12:42:38,True,1,5e-05,16,256,0.3,Adam,42.18
1,2026-05-29 13:34:28,False,1,0.0001,16,256,0.4,RMSprop,37.23
2,2026-05-29 14:14:15,False,0,0.0005,16,256,0.2,Adam,49.56
3,2026-05-29 14:45:04,False,0,5e-05,16,256,0.4,Adam,38.32
4,2026-05-29 15:35:54,True,0,0.0001,16,256,0.2,RMSprop,48.01
5,2026-05-29 16:16:09,True,1,5e-05,16,256,0.2,RMSprop,39.32
6,2026-05-29 16:42:24,True,2,5e-05,32,128,0.3,RMSprop,25.89
7,2026-05-29 17:07:47,False,0,0.0005,16,128,0.4,Adam,46.69
8,2026-05-29 17:39:00,False,1,0.0005,32,256,0.3,Adam,39.22
9,2026-05-29 18:13:57,True,0,0.0001,32,128,0.2,RMSprop,46.82
10,2026-05-29 18:38:27,False,2,0.0005,32,128,0.2,Adam,27.77
11,2026-05-29 19:03:42,True,0,0.0001,16,256,0.2,RMSprop,47.57
12,2026-05-29 19:28:52,False,0,0.0005,16,256,0.2,Adam,47.14
13,2026-05-29 19:54:58,True,0,0.0001,16,256,0.2,RMSprop,47.91
14,2026-05-29 20:19:46,False,0,0.0005,16,256,0.2,RMSprop,46.26
15,2026-05-29 20:45:41,True,0,0.0001,16,256,0.2,Adam,50.66
16,2026-05-29 21:09:11,False,2,0.0005,16,256,0.2,Adam,41.06
17,2026-05-29 21:45:05,True,0,0.0001,16,256,0.2,Adam,48.45
18,2026-05-29 22:50:27,True,0,0.0001,32,128,0.3,Adam,40.43
19,2026-05-29 23:37:51,False,2,0.0005,16,256,0.4,Adam,38.88
0,2026-06-01 11:26:42,True,0,0.0005,32,256,0.3,Adam,51.98
1,2026-06-01 12:35:32,True,1,0.0001,32,256,0.4,Adam,45.14
2,2026-06-01 12:56:38,False,1,0.0001,16,256,0.3,Adam,33.48
3,2026-06-01 13:22:19,True,0,0.0001,16,256,0.2,Adam,47.68
4,2026-06-01 13:58:41,True,0,0.0001,32,256,0.3,RMSprop,46.7
5,2026-06-01 14:17:03,False,2,5e-05,32,128,0.2,Adam,29.85
6,2026-06-01 14:53:45,True,1,0.0001,32,256,0.3,RMSprop,47.47
7,2026-06-01 15:20:10,True,1,5e-05,16,128,0.4,RMSprop,39.2
8,2026-06-01 15:47:34,False,1,0.0001,32,128,0.4,Adam,27.66
9,2026-06-01 16:13:43,True,1,0.0001,16,256,0.2,Adam,45.16
10,2026-06-01 16:46:20,False,0,0.0005,32,128,0.3,RMSprop,47.9
11,2026-06-01 17:19:17,False,0,0.0005,32,128,0.3,RMSprop,48.45
12,2026-06-01 17:52:11,False,0,0.0005,32,128,0.3,RMSprop,46.36
13,2026-06-01 18:22:26,False,0,0.0005,32,128,0.3,RMSprop,44.04
14,2026-06-01 18:59:31,True,2,0.0005,32,256,0.3,Adam,53.96
15,2026-06-01 19:36:01,True,2,0.0005,32,256,0.3,Adam,49.11
16,2026-06-01 20:13:36,True,2,0.0005,32,256,0.3,Adam,51.53
17,2026-06-01 20:50:56,True,2,0.0005,32,256,0.3,Adam,49.24
18,2026-06-01 21:18:52,True,2,0.0005,16,256,0.4,Adam,50.33
19,2026-06-01 21:54:50,True,2,5e-05,32,256,0.2,Adam,39.09
